CAN_ID,p_des
4,0.0665678
4,0.0672803
4,0.0679965
4,0.0687165
4,0.0694402
4,0.0701675
4,0.0708986
4,0.0716334
4,0.0723719
4,0.073114
4,0.0738599
4,0.0746095
4,0.0753627
4,0.0761196
4,0.0768802
4,0.0776446
4,0.0784126
4,0.0791843
4,0.0799596
4,0.0807387
4,0.0815214
4,0.0823077
4,0.0830978
4,0.0838915
4,0.084689
4,0.08549
4,0.0862948
4,0.0871031
4,0.0879152
4,0.0887309
4,0.0895502
4,0.0903733
4,0.0911999
4,0.0920303
4,0.0928643
4,0.0937019
4,0.0945432
4,0.0953881
4,0.0962366
4,0.0970888
4,0.0979446
4,0.0988041
4,0.0996672
4,0.100534
4,0.101404
4,0.102278
4,0.103156
4,0.104037
4,0.104922
4,0.10581
4,0.106702
4,0.107598
4,0.108497
4,0.1094
4,0.110307
4,0.111217
4,0.112131
4,0.113048
4,0.113969
4,0.114893
4,0.115821
4,0.116753
4,0.117688
4,0.118627
4,0.11957
4,0.120516
4,0.121465
4,0.122419
4,0.123375
4,0.124336
4,0.1253
4,0.126267
4,0.127238
4,0.128213
4,0.129191
4,0.130172
4,0.131158
4,0.132146
4,0.133139
4,0.134135
4,0.135134
4,0.136137
4,0.137144
4,0.138154
4,0.139167
4,0.140185
4,0.141205
4,0.142229
4,0.143257
4,0.144288
4,0.145323
4,0.146361
4,0.147403
4,0.148448
4,0.149497
4,0.15055
4,0.151606
4,0.152665
4,0.153728
4,0.154794
4,0.155864
4,0.156937
4,0.158014
4,0.159094
4,0.160178
4,0.161265
4,0.162356
4,0.16345
4,0.164548
4,0.165649
4,0.166753
4,0.167862
4,0.168973
4,0.170088
4,0.171207
4,0.172328
4,0.173454
4,0.174583
4,0.175715
4,0.176851
4,0.17799
4,0.179132
4,0.180278
4,0.181428
4,0.182581
4,0.183737
4,0.184897
4,0.18606
4,0.187226
4,0.188396
4,0.189569
4,0.190746
4,0.191927
4,0.19311
4,0.194297
4,0.195487
4,0.196681
4,0.197878
4,0.199079
4,0.200283
4,0.20149
4,0.202701
4,0.203915
4,0.205132
4,0.206353
4,0.207577
4,0.208805
4,0.210036
4,0.21127
4,0.212508
4,0.213749
4,0.214993
4,0.216241
4,0.217492
4,0.218746
4,0.220004
4,0.221265
4,0.222529
4,0.223797
4,0.225068
4,0.226342
4,0.22762
4,0.2289
4,0.230185
4,0.231472
4,0.232763
4,0.234057
4,0.235355
4,0.236656
4,0.23796
4,0.239267
4,0.240578
4,0.241891
4,0.243209
4,0.244529
4,0.245853
4,0.24718
4,0.24851
4,0.249844
4,0.25118
4,0.252521
4,0.253864
4,0.25521
4,0.25656
4,0.257913
4,0.25927
4,0.260629
4,0.261992
4,0.263358
4,0.264727
4,0.266099
4,0.267475
4,0.268854
4,0.270236
4,0.271621
4,0.27301
4,0.274401
4,0.275796
4,0.277194
4,0.278596
4,0.28
4,0.281408
4,0.282819
4,0.284233
4,0.28565
4,0.28707
4,0.288494
4,0.28992
4,0.29135
4,0.292783
4,0.294219
4,0.295659
4,0.297101
4,0.298547
4,0.299995
4,0.301447
4,0.302902
4,0.30436
4,0.305822
4,0.307286
4,0.308754
4,0.310224
4,0.311698
4,0.313175
4,0.314655
4,0.316138
4,0.317624
4,0.319113
4,0.320605
4,0.322101
4,0.323599
4,0.325101
4,0.326605
