0x007,0x001,0x002,0x003,0x004,0x005,0x006,0x007,0x008
-0.72880,2.41147,0.94058,0.62086,1.47704,0.11283,-1.77296,0.04578,0.04578,
-0.73618,2.41978,0.93435,0.61924,1.47259,0.10565,-1.76830,0.04116,0.04116,
-0.74346,2.42765,0.92845,0.61770,1.46822,0.09878,-1.76385,0.03673,0.03673,
-0.75066,2.43507,0.92289,0.61624,1.46394,0.09224,-1.75961,0.03252,0.03252,
-0.75776,2.44202,0.91768,0.61488,1.45976,0.08606,-1.75561,0.02855,0.02855,
-0.76477,2.44848,0.91283,0.61362,1.45570,0.08026,-1.75185,0.02481,0.02481,
-0.77169,2.45446,0.90835,0.61245,1.45176,0.07486,-1.74835,0.02133,0.02133,
-0.77850,2.45994,0.90424,0.61138,1.44794,0.06987,-1.74512,0.01812,0.01812,
-0.78522,2.46491,0.90051,0.61040,1.44427,0.06530,-1.74216,0.01518,0.01518,
-0.79184,2.46939,0.89716,0.60953,1.44073,0.06116,-1.73948,0.01252,0.01252,
-0.79836,2.47336,0.89418,0.60875,1.43734,0.05746,-1.73708,0.01014,0.01014,
-0.80478,2.47685,0.89156,0.60807,1.43409,0.05420,-1.73496,0.00804,0.00804,
-0.81111,2.47986,0.88931,0.60748,1.43099,0.05136,-1.73313,0.00621,0.00621,
-0.81735,2.48242,0.88739,0.60698,1.42804,0.04894,-1.73156,0.00466,0.00466,
-0.82350,2.48453,0.88581,0.60656,1.42522,0.04693,-1.73026,0.00336,0.00336,
-0.82957,2.48623,0.88453,0.60623,1.42254,0.04530,-1.72920,0.00232,0.00232,
-0.83557,2.48755,0.88354,0.60597,1.41998,0.04403,-1.72838,0.00150,0.00150,
-0.84150,2.48853,0.88281,0.60578,1.41754,0.04308,-1.72776,0.00089,0.00089,
-0.84737,2.48921,0.88230,0.60565,1.41521,0.04242,-1.72734,0.00047,0.00047,
-0.85319,2.48963,0.88198,0.60557,1.41296,0.04201,-1.72707,0.00020,0.00020,
-0.85897,2.48985,0.88182,0.60552,1.41078,0.04179,-1.72693,0.00006,0.00006,
-0.86472,2.48994,0.88175,0.60550,1.40865,0.04171,-1.72688,0.00001,0.00001,
-0.86472,2.48994,0.88175,0.60550,1.40865,0.04171,-1.72688,0.00001,0.00001,
-0.87045,2.48997,0.88175,0.60553,1.40656,0.04188,-1.72694,0.00005,0.00005,
-0.87608,2.48995,0.88190,0.60575,1.40458,0.04321,-1.72748,0.00043,0.00043,
-0.88152,2.48984,0.88232,0.60631,1.40282,0.04664,-1.72890,0.00143,0.00143,
-0.88671,2.48961,0.88311,0.60735,1.40134,0.05287,-1.73147,0.00328,0.00328,
-0.89161,2.48924,0.88435,0.60895,1.40018,0.06242,-1.73543,0.00610,0.00610,
-0.89617,2.48871,0.88608,0.61118,1.39939,0.07558,-1.74088,0.01000,0.01000,
-0.90037,2.48801,0.88835,0.61409,1.39896,0.09250,-1.74789,0.01502,0.01502,
-0.90420,2.48714,0.89115,0.61768,1.39889,0.11315,-1.75646,0.02114,0.02114,
-0.90767,2.48609,0.89450,0.62197,1.39916,0.13738,-1.76650,0.02833,0.02833,
-0.91078,2.48487,0.89836,0.62691,1.39974,0.16489,-1.77791,0.03650,0.03650,
-0.91356,2.48350,0.90272,0.63248,1.40058,0.19530,-1.79052,0.04553,0.04553,
-0.91603,2.48198,0.90753,0.63862,1.40163,0.22814,-1.80414,0.05528,0.05528,
